Feature,Type,County,Parish,GridRef
Gate,Gate,Somerset,Montacute CP,ST 48366 16389
Gate,Gate,Somerset,Montacute CP,ST 48375 16386
Gate,Gate,Somerset,Montacute CP,ST 48363 16517
Gate,Gate,Somerset,Montacute CP,ST 48357 16614
Gate,Gate,Somerset,Montacute CP,ST 48343 16844
Double Gate,Gate,Somerset,Montacute CP,ST 48555 16830
Gate,Gate,Somerset,Montacute CP,ST 48608 16542
Gate,Gate,Somerset,Montacute CP,ST 48625 16401
SWEDSWA Course 2019,Wall,Somerset,Montacute CP,ST 48344 16832
Derelict wall,Wall,Somerset,Montacute CP,ST 48348 16799
Missing copes,Wall,Somerset,Montacute CP,ST 48359 16585
Intact wall,Wall,Somerset,Montacute CP,ST 48361 16551
Intact wall,Wall,Somerset,Montacute CP,ST 48367 16484
Intact wall,Wall,Somerset,Montacute CP,ST 48623 16445
Missing copes,Wall,Somerset,Montacute CP,ST 48616 16512
Missing copes,Wall,Somerset,Montacute CP,ST 48607 16551
"Intact wall, but low?",Wall,Somerset,Montacute CP,ST 48602 16571
Missing copes,Wall,Somerset,Montacute CP,ST 48594 16604
"Intact wall, but low?",Wall,Somerset,Montacute CP,ST 48563 16775
Old Quarry,Quarry,Somerset,Montacute CP,ST 48865 16414
Harvey Stone Quarry,Quarry,Somerset,Montacute CP,ST 48265 16091
Monument Quarry,Quarry,Somerset,Montacute CP,ST 47797 17118
"Roman Villa, site of",Site,Somerset,Montacute CP,ST 48778 16525
The Warren,Site,Somerset,Montacute CP,ST 48750 16620
St Michaelâ€™s Tower,Site,Somerset,Montacute CP,ST 49349 16976
Stone Circle,Site,Somerset,Montacute CP,ST 47822 17161
Prince of Wales,Site,Somerset,Montacute CP,ST 47906 16839
